Tree,Tree,Geno,Row,Col,Xgal,Csub,Lsp,Chol,Xmon,Pmel,Pads,Pund,Rsp
N2.28,N2.28,WC.5,6,2,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,6,4,1,1,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,6,6,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,6,8,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,6,10,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,7,1,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,7,3,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,7,5,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,7,7,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,7,9,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,8,2,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,8,4,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,8,6,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,8,8,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,8,10,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,9,1,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,9,3,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,9,5,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,9,7,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,9,9,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,10,2,1,1,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,10,4,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,10,6,1,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,10,8,0,0,0,0,0,0,0,0,0
N2.28,N2.28,WC.5,10,10,0,0,0,0,0,0,0,0,0
N2.3,N2.3,,1,1,0,0,0,0,0,0,0,0,0
N2.3,N2.3,,1,3,0,0,0,0,0,0,0,0,0
